OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1557,5FE00C74-0B04-4906-812C-29961261F097,OAL,COALDALE,38.00326139,-116.2295542,H24,,4800,117.7,17,,4,,4BD30414-464F-42E8-A071-ECD239A8204C,0,124X,1,1,17,0,0,0,1,1,0,0
1558,9FD7C9AE-3C23-4E8E-AEB8-D90ED9846DFD,BQU,BULLION,40.75967722,-114.2386233,H24,,6466.5,114.5,17,,3,,2D31E63A-334B-4764-840E-45C8857F9AC8,1,,1,0,17,0,0,0,1,0,0,0
1559,E6584817-CFCD-47EC-A144-79DEE2994920,BQU,BULLION,40.75967722,-114.2386233,H24,,6466.5,114.5,17,,2,,2D31E63A-334B-4764-840E-45C8857F9AC8,1,092X,1,0,17,0,0,0,1,0,0,0
1560,257018C6-90F3-441D-93F4-27E2D0031AD0,ELY,ELY,39.29812583,-113.1516953,H24,,6247.7,110.6,14,,3,,F0E98BDC-8DD1-40B6-AA8D-D6719A084BD0,0,,1,0,14,0,0,0,1,1,0,0
1561,DD6501BC-9537-4F63-9410-0DE95A7E01DD,ELY,ELY,39.29812583,-113.1516953,H24,,6247.7,110.6,14,,2,,F0E98BDC-8DD1-40B6-AA8D-D6719A084BD0,0,043X,1,0,14,0,0,0,1,1,0,0
1562,445B9BAD-4A41-48F7-AD60-FAD55004033F,NFL,FALLON,39.41690833,-117.294925,H24,,3929.2,113.5,14,,4,,72861E6F-8FA2-4945-A4C4-0F28C784AB9F,0,082X,1,1,14,0,0,0,1,1,0,0
1563,BF462506-FDAA-4580-B872-047E1E174441,HZN,HAZEN,39.5164,-117.0023133,H24,,4085.6,114.1,17,,3,,DA2DCAB6-62FD-4797-AF2F-A10FBA57C2A9,2,,1,1,17,0,0,0,1,1,0,0
1564,78894E0B-7E03-4D1E-9234-57442D6493FB,HZN,HAZEN,39.5164,-117.0023133,H24,,4085.6,114.1,17,,4,,DA2DCAB6-62FD-4797-AF2F-A10FBA57C2A9,2,088X,1,1,17,0,0,0,1,1,0,0
1565,C8DDA773-C4C6-4246-9839-03FCA5260F10,INS,INDIAN SPRINGS,36.5849975,-114.3296686,H24,,3101.7,114,15,,4,,7A1FA002-E7EA-4CD9-86F0-B79A58DFA71C,3,087X,1,1,15,0,0,0,1,0,0,0
1566,ED1DCE85-65FC-45A1-BF5C-53BED1CCDEFC,LAS,LAS VEGAS,36.07970139,-114.8402019,H24,,2136,116.9,15,,3,,0E8BF5FC-1643-42AF-918B-CB35FAF9DF40,0,,1,0,15,0,0,0,1,1,0,0
1567,EEE2CFCB-35BB-46F1-9421-BE507DE67A09,LAS,LAS VEGAS,36.07970139,-114.8402019,H24,,2136,116.9,15,,4,,0E8BF5FC-1643-42AF-918B-CB35FAF9DF40,0,116X,1,0,15,0,0,0,1,1,0,0
1568,2B57B352-8616-4C33-B61F-393B568261C5,LSV,NELLIS,36.24465556,-114.9749167,H24,,1862.5,135.5,12,,4,,95AA099C-E0BC-47CD-9CFA-3AFEA28513A3,2,012X,1,1,12,0,0,0,1,1,0,0
1569,E10AAB34-5228-49BF-A14E-29F6266F540D,LLC,LOVELOCK,40.1252625,-117.4224044,H24,,4790.3,116.5,16,,3,,68FE2D36-4EFD-4428-9CF3-3A6F03BCC449,2,,1,0,16,0,0,0,1,1,0,0
1570,BC963362-C257-47F9-AE72-9AF7E27F6BDA,LLC,LOVELOCK,40.1252625,-117.4224044,H24,,4790.3,116.5,16,,4,,68FE2D36-4EFD-4428-9CF3-3A6F03BCC449,2,112X,1,0,16,0,0,0,1,1,0,0
1571,C4933BDE-ADA0-4A82-8A3B-4CDFFD5CBE25,MVA,MINA,38.56529944,-117.9671467,H24,,7860,115.1,17,,3,,A2FE77A7-196D-4C5E-8441-7ADF5927E60D,0,,1,1,17,0,0,0,1,1,0,0
1572,FC3074A4-0CCA-44CC-A600-32B96085741A,MVA,MINA,38.56529944,-117.9671467,H24,,7860,115.1,17,,4,,A2FE77A7-196D-4C5E-8441-7ADF5927E60D,0,098X,1,1,17,0,0,0,1,1,0,0
