OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
14026,16FC583A-E5EE-440E-A15D-310CE80A857E,9D1DB89D-9D25-4A92-96B1-A5468280FB50,18/36,2400,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14027,22C911BC-820E-4B16-9027-7DCC2E2D0B32,E5CA5D08-6DBF-49C6-ACEF-E1258C4DC2F3,07/25,2500,80,FT,GRASS,,,0,0,0,0,0,0,1.98694988284842e-06,0.0176487941729668
14028,FEBB3B45-35B1-4E45-B47F-CB4665A1C382,DEDDB686-A8F1-45A7-A52A-00A03AD92662,09/27,5646,100,FT,ASPH,2,LIH,0,0,1,1,0,0,5.65767982152465e-06,0.0416348299340424
14029,44020B53-EF77-434B-8409-3B85FB0D445B,DEDDB686-A8F1-45A7-A52A-00A03AD92662,18/36,4002,75,FT,ASPH,2,LIM,0,0,1,1,0,0,3.00784518003638e-06,0.0225265018865577
14030,47AC8527-809A-479B-B372-4036A4B16589,A98C0119-E303-4AB6-A2C5-545974ABC7B3,H1,50,50,FT,CONC,,,0,0,0,0,0,0,2.50479388341773e-08,0.000639518000070893
14031,4191CCE8-2A1B-4BCC-8DD2-92B448A773CA,1000D807-6DBC-49D1-A41D-DDCD0B6F67FD,H1,50,50,FT,CONC,,,0,0,0,0,0,0,2.40643203142099e-08,0.000625141999876178
14032,496B0A81-F0EB-4E1A-BCDE-D3954B574C5A,EB04C973-5532-4387-A809-AC7ED7017851,18/36,5001,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.82050950267876e-06,0.0281768719700458
14033,F1787227-41BE-46D8-AECF-F5A3732CE0D5,7FD1DA79-45CA-448B-B81E-0FAEFEAA214C,H1,40,40,FT,CONC,0,OTHER,0,0,0,0,0,0,1.54050212586299e-08,0.000500173999967046
14034,A68EE748-EA11-43A8-B5A5-478CCD1899A3,0C8CB434-D759-40A1-9B1F-010B77D88739,H1,60,60,FT,GRASS,,,0,0,0,0,0,0,3.53561517840717e-08,0.000758739999923819
14035,3F8CBCC6-15F6-425F-BF0B-07B8D5721A56,A7799574-BB17-4BB8-824E-222998D1867E,03/21,2870,75,FT,ASPH,,,0,0,0,0,0,0,2.16099761018995e-06,0.0179847610293484
14036,8AB329E3-12F2-43CB-9CAE-B6828FB7FE75,28757A96-93C4-4D2A-A670-918C42F342ED,E/W,1500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14037,A8B542D2-A8A3-4BA9-A68B-55FC7C1D2726,28757A96-93C4-4D2A-A670-918C42F342ED,N/S,988,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14038,F5D5EBDE-72E4-4A5F-B492-CCA63E944D1D,3576B3DA-AB81-4C73-BF47-C2B52F015417,18/36,2100,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14039,FD85AEB1-5EA9-42F0-A0D1-9F77CF07F7B2,59ACFBBE-8828-43F5-B024-60C4D400A4B0,09/27,3470,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14040,EC554873-EAD6-4DCB-90B2-1ECF8B3F1840,E4E2F3E4-68CA-4960-A0A7-C264353E0A38,H1,60,60,FT,CONC,,,0,0,0,0,0,0,3.60364538209978e-08,0.000767028000041137
14041,C5C200FD-0807-4698-941E-080C573C7E64,17E1CDB3-630C-4A38-8AD6-438E33501073,09/27,2300,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14042,95F1A6B1-8D8C-46FB-A307-1C3309D4EF92,F5363B5A-C911-417C-8D48-84A59D0569C0,H1,50,50,FT,CONC,0,OTHER,0,0,0,0,0,0,2.44945113081485e-08,0.000631429999884858
14043,FAF8F318-09DF-40A5-8F82-A4CF281F15BD,D3270BA1-2A65-435D-8581-400C61DDA42F,H1,40,40,FT,ASPH,0,OTHER,0,0,0,0,0,0,1.54423105414025e-08,0.000500868000017363
14044,22E66098-B126-4FB1-B3D4-8F5F28D8AEA2,B18776ED-DF3B-49B9-8973-9BDA5C09BFFC,17/35,2768,45,FT,ASPH,2,OTHER,0,0,1,0,0,0,1.23675954455393e-06,0.0156352947480059
14045,B4ACDF24-0694-4560-8727-422424DCBF34,158AC7FB-0DF6-4E69-ADCB-6F0C5F3EC7CD,18/36,1250,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14046,CDDB797A-89FD-4338-B79B-2DF2D0B82BA7,EB8D12C5-67E0-412D-89E9-54D95DC85121,08/26,3300,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14047,203774A5-F751-421D-B5BA-D9996AD945E0,C28EF43F-F0FD-467E-955A-C90B71479599,H1,15,15,FT,CONC,,,0,0,0,0,0,0,2.23963070311584e-09,0.000191159999985757
14048,60309E58-F027-49A6-B74E-A2574E5A8B6A,9996F1C4-BEB5-4065-865C-98C8E3E450C7,H1,300,300,FT,GRASS,,,0,0,0,0,0,0,8.72918462846428e-07,0.00376694700002575
14049,FFCAF226-C09D-4ABC-8E26-F658BA9D552D,6F84E161-1EF3-4162-A704-2CF61F98E364,12/30,2200,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14050,47F67A83-FF27-4B58-A38B-83B67440F7AE,61C8D328-1CA4-4B63-ABB2-FC163F9170ED,03/21,1890,125,FT,GRASS,,,0,0,1,0,0,0,2.34474509852589e-06,0.011910324101832
14051,522152B9-9A45-4EC1-A7B5-49ED46E5D3C7,61C8D328-1CA4-4B63-ABB2-FC163F9170ED,18/36,3174,50,FT,ASPH,0,OTHER,0,0,1,0,0,0,1.57480462803505e-06,0.0177845910856251
14052,7EAE817A-94A5-418A-953F-480C30EEE53D,6EE298FB-936E-4E98-9314-43A2E941B588,18/36,1700,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14053,105A6974-827F-47D3-86F3-D78DB6D655E9,17142ED2-E81C-4D8E-BC33-CACC54706DC5,04/22,2900,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
